"No.","Time","Source","Destination","Protocol","Length","Info"
"95","2019-03-08 11:41:39","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=18/4608, ttl=64 (reply in 96)"
"96","2019-03-08 11:41:39","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=18/4608, ttl=128 (request in 95)"
"97","2019-03-08 11:41:40","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=19/4864, ttl=64 (reply in 98)"
"98","2019-03-08 11:41:40","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=19/4864, ttl=128 (request in 97)"
"99","2019-03-08 11:41:41","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=20/5120, ttl=64 (reply in 100)"
"100","2019-03-08 11:41:41","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=20/5120, ttl=128 (request in 99)"
"101","2019-03-08 11:41:42","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=21/5376, ttl=64 (reply in 102)"
"102","2019-03-08 11:41:42","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=21/5376, ttl=128 (request in 101)"
"103","2019-03-08 11:41:43","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=22/5632, ttl=64 (reply in 104)"
"104","2019-03-08 11:41:43","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=22/5632, ttl=128 (request in 103)"
"105","2019-03-08 11:41:44","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=23/5888, ttl=64 (reply in 106)"
"106","2019-03-08 11:41:44","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=23/5888, ttl=128 (request in 105)"
"107","2019-03-08 11:41:45","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=24/6144, ttl=64 (reply in 108)"
"108","2019-03-08 11:41:45","192.168.141.2","192.168.141.131","ICMP","98","Echo (ping) reply    id=0x06ab, seq=24/6144, ttl=128 (request in 107)"
"109","2019-03-08 11:41:46","192.168.141.131","192.168.141.2","ICMP","98","Echo (ping) request  id=0x06ab, seq=25/6400, ttl=64 (reply in 110)"
